CommonName,Type,MAP,NFFD,NPP,PPT_sm,RH,SHM,TD,Wetness,Landcover
Long-toed Salamander,1,530.5064087,113.9481812,4820,191.973465,57.3408165,40.0033989,21.49690437,7.384655952,1
Long-toed Salamander,1,526.0335693,114.3946533,5117,194.612793,58.03767395,40.18094635,21.39999962,4.104999065,1
Long-toed Salamander,1,752.0139771,109.2220612,5062,248.0501862,59.83311462,27.65047264,21.21714783,3.415080547,1
Long-toed Salamander,1,520.7255859,112.3121185,5143,192.4813538,58.13930511,39.72147751,21.38607025,7.422483444,16
Long-toed Salamander,1,606.7982788,120.1834259,5108,204.2247009,59.08365631,37.17657852,21.68608284,3.371487617,1
Long-toed Salamander,1,564.687439,118.9296265,4582,198.9762115,58.03603745,38.65954971,21.57330322,7.779760361,1
Long-toed Salamander,1,711.7736816,121.6050797,4043,214.9245605,61.88705826,33.49497223,21.68591499,4.042722225,1
Long-toed Salamander,1,535.3930664,114.7924881,4839,192.498291,57.1194725,39.74191666,21.49574661,7.226547718,1
Long-toed Salamander,1,645.1288452,110.6921921,5192,218.8729095,58.31417465,32.80604172,21.38907814,1.906656623,1
Long-toed Salamander,1,566.4749756,123.6690445,4447,191.2517395,59,41.02074051,21.7572155,8.106197357,1
Long-toed Salamander,1,561.4579468,123.1849518,4728,201.5286865,58.76695633,39.77519226,22.31224251,2.016394854,17
Long-toed Salamander,1,620.6629028,137.9955597,5270,286.9529724,55.96821976,33.01118088,22.10273552,4.614359856,1
Long-toed Salamander,1,640.2006226,138,4945,288.6817627,56.86606598,32.33179855,22.40373993,4.619100094,1
Long-toed Salamander,1,745.7263184,148.2295074,5190,185.0737762,63.50357819,44.04693222,21.53996849,6.495047092,8
Long-toed Salamander,1,1223.101685,137.0379791,4675,289.3635864,68,25.58431244,21.20429993,3.052849293,1
Long-toed Salamander,1,578.743042,119.7149582,4607,185.0230408,58,43.24124527,22.75507736,9.691274643,1
Long-toed Salamander,1,530.807373,143.3548126,5151,200.9409027,55.29786301,45.72737122,22.20000076,11.98723412,1
Long-toed Salamander,1,538.7871094,137.8072205,4427,204.4089661,56.02828979,43.80474091,22.19304848,6.615679264,6
Long-toed Salamander,1,529.569397,132.9835968,4060,202.2365875,55.56406403,43.5205307,22.18845558,3.67769146,18
Long-toed Salamander,1,500.6538391,130,5150,189.0103149,56,44.76144028,22.10000038,4.689130306,1
Long-toed Salamander,1,604.6008301,120.2227707,5039,190.3588104,58,41.84228897,22.82229424,9.542937279,1
Long-toed Salamander,1,535.927002,127.750946,3118,200.4480286,57.10014725,41.44318771,21.96973801,1.497571945,1
Long-toed Salamander,1,458.302887,128.5863647,4871,176.4590302,56,47.87981796,22.10000038,6.657391071,1
Long-toed Salamander,1,529.3076172,142.0284729,4313,201.9712372,55,45.47619247,22.1999855,10.32055759,6
Long-toed Salamander,1,486.340271,123.0517578,4558,167.1421661,58.23878479,47.48415375,22.53423691,5.226582527,10
