CommonName,Type,MAP,NFFD,NPP,PPT_sm,RH,SHM,TD,Wetness,Landcover
American Bullfrog,0,742.5350952,216.179718,5098,103.0120621,61.57989502,102.1149673,21.67052078,4.859179497,14
American Bullfrog,0,903.6461792,214.1706848,5490,123.8389969,61.84146881,83.08509064,21.09053612,9.251961708,1
American Bullfrog,0,751.4594727,223.1363373,4540,93.65289307,60.04211426,109.6044006,20.89999962,7.23823595,8
American Bullfrog,0,693.5805664,215.9704285,5555,98.09770966,60.67456055,106.1585846,20.89999962,7.178771496,1
American Bullfrog,0,292.2071228,244.4107819,2577,31.06330681,57,305.7905884,23.96343994,13.57341194,14
American Bullfrog,0,305.0558472,244.999115,NA,32.21889496,57,292.7347412,23.87807846,12.57189274,17
American Bullfrog,0,322.215332,245.7201843,NA,33.53155518,57.26636124,281.0818176,23.87364197,7.253246307,17
American Bullfrog,0,287.3175354,245,4494,31,57,309.3894653,24.1596489,12.79075718,15
American Bullfrog,0,346.7229919,243.067215,NA,35,58,265.2360535,23.93603325,7.7967906,17
American Bullfrog,0,754.3282471,210.5384064,5369,107.1780243,60.23210144,96.10665894,21.16937447,18.78777504,1
American Bullfrog,0,752.2180786,210.7399902,5445,106.5641479,60,96.5256424,21.1717186,18.97480774,1
American Bullfrog,0,249.1721191,239,2254,32,55.17113495,327.8275146,24.89728737,12.72496414,10
American Bullfrog,0,341.0644836,244.0860138,NA,34.29655075,57.93115234,269.5645447,23.80516243,6.118000507,17
American Bullfrog,0,658.8842773,239.1335602,4805,96.92834473,57.77548599,115.032959,22.2708683,8.269376755,1
American Bullfrog,0,379.6511536,280.9229126,NA,59.66768265,61.01206589,204.4873047,22.33446884,11.94209957,10
American Bullfrog,0,658.9503174,248.1404724,4572,92.48590851,59.47392654,124.7086945,22.15494347,6.315022945,1
American Bullfrog,0,776.1799316,241.9751587,4434,103.3852921,61.72235107,103.7014771,21.78860474,2.313340902,8
American Bullfrog,0,901.3626709,210.0762787,5264,123.8014374,61.48376083,81.62371826,21.16653442,6.226792336,14
Western Toad,0,334.181488,243.476181,2750,33.94363022,57.77217484,275.3058167,23.79999924,7.536077023,8
Western Toad,0,359.7930298,243.0426636,2852,35.45569229,58,257.317627,23.73805046,4.086210728,8
American Bullfrog,0,746.9989014,215.0170593,NA,104.3332748,61.68911362,98.35636139,21.1042366,10.26483345,18
American Bullfrog,0,711.9102173,224.2516479,5042,90.6698761,60,113.0508728,20.91391373,13.43718719,1
American Bullfrog,0,730.72229,210.5234528,3535,105.5594711,59.49198532,102.9211197,21.94774818,8.958848953,18
American Bullfrog,0,731.4859619,224.0353699,NA,96.89016724,61.47395706,106.4091644,21.13294029,3.853711843,14
American Bullfrog,0,524.559082,226,5058,93.40552521,62.75289917,118.2617569,21.89999962,16.47445488,15
American Bullfrog,0,606.8419189,191.2760925,3166,53.54959106,51.56906509,163.3307037,23.30196381,4.623470306,8
American Bullfrog,0,284.5487976,240.3190308,4208,34.68096542,57,280.3013611,23.79999924,12.55616665,17
Western Toad,0,541.4443359,269.8582458,2934,82.53166199,63.05045319,144.3789978,21.99495316,4.652551651,14
American Bullfrog,0,742.5612793,231.1060181,3782,97.98749542,62.59972,97.41607666,20.31850433,4.78591156,15
American Bullfrog,0,734.9905396,226.2451172,4037,80.24532318,61,114.6411285,20.97590828,5.33660841,15
American Bullfrog,0,277.7724304,242.5301971,4482,30.90462112,56,340.0046997,24.79999924,15.78347683,15
American Bullfrog,0,305.8572083,243.0177307,NA,31,56,321.2513123,24.69907188,13.52901363,17
American Bullfrog,0,298.4442444,243.0351563,4810,31,55.04677582,326.0583496,24.70000076,13.99206352,15
American Bullfrog,0,298.994812,246,NA,32,57,297.0171204,23.89999962,15.06700325,17
American Bullfrog,0,693.9602661,236.8444824,3779,91.30828857,63,105.3494415,20.29999924,6.197386742,17
American Bullfrog,0,688.0314941,225.5146027,3873,95.9056778,62.59972382,110.4683914,21.83050346,5.826197147,1
American Bullfrog,0,781.6544189,216.8405762,4536,109.7445602,61.03795242,98.8117981,22.19620705,4.948348522,1
American Bullfrog,0,719.6015015,212.5162964,4566,100.3250656,60.03878403,103.0166321,20.89741325,4.541241169,14
American Bullfrog,0,785.7832031,194.2571259,5663,125.4002151,61.04390335,78.49570465,21.30311012,4.379117489,1
American Bullfrog,0,310.6161804,247,NA,32.70800018,57.15762329,288.8231506,23.88423729,14.53240395,17
American Bullfrog,0,884.5270996,216.3538971,NA,122,61,85.67068481,21.06462288,12.31875038,17
American Bullfrog,0,258.8388672,239,2288,34,55.66991425,320.8577576,25.36655998,14.36727428,15
American Bullfrog,0,271.1783142,244.2433167,2950,30.75749969,56,325.2294922,24.26008224,13.86386967,15
American Bullfrog,0,931.5204468,213.1558838,5543,129.4322968,60,76.63484955,21.39999962,4.945788383,8
American Bullfrog,0,576.0435181,228.9131927,4088,122.1966324,61.88540649,85.9563446,20.8891964,6.94935751,15
American Bullfrog,0,688.5939331,237.5194244,NA,90.52375031,63,106.3557739,20.29999924,6.239824772,17
American Bullfrog,0,788.4946289,222.0911865,3996,86.47415924,62,103.1682358,20.57620239,4.412864208,15
American Bullfrog,0,190.9687347,247.360199,2218,25,54.36011124,433.0321045,24.63601494,14.21647167,17
American Bullfrog,0,686.7904053,234.1132813,3694,96.54579163,58.65838623,110.7441254,21.85914803,3.510479927,18
American Bullfrog,0,614.1934814,253.2351685,4583,105.0496063,58,109.9159775,22.49503136,8.289131165,10
American Bullfrog,0,946.2428589,223.4077606,4838,124.7605896,61.50601959,80.74581146,21.51577377,3.77267313,8
American Bullfrog,0,1010.227234,215.8423462,4868,129.28125,61,76.2758255,21.34160614,5.559979916,1
American Bullfrog,0,515.0986328,258.2270813,2086,99.1468811,59.49916458,123.3732758,22.02391434,10.87895966,10
American Bullfrog,0,886.2136841,214.3167572,5280,122.9751511,60.2914772,85.19660187,21.17084503,11.30451298,8
Columbia Spotted Frog,0,917.6835938,213.8265533,5533,129,60,77.62984467,21.56853867,8.939689636,1
American Bullfrog,0,698.6945801,223.3263702,4302,89.79937744,60.04061508,114.6333618,20.9376812,11.39459133,14
Columbia Spotted Frog,0,1249.380127,193.7815094,5018,168.2612762,67.02000427,52.09303665,20.48799515,3.9667027,1
American Bullfrog,0,704.7574463,216.8807831,4889,88.56284332,60.48866653,105.5508118,20.35113335,8.95326519,1
Columbia Spotted Frog,0,666.1509399,217.5139465,5626,98.63430786,61.59929276,107.1172562,21.63134003,12.680336,1
American Bullfrog,0,467.1474609,209.6045837,3606,98.75920105,59.79082489,117.4666977,22.78769875,9.237929344,8
American Bullfrog,0,564.6845703,162.2397614,4603,117.9162827,57.65352631,80.14347839,21.79356003,3.40551734,1
American Bullfrog,0,394.4213867,213.2395172,3858,100.2648697,59,118.754425,22.72648811,13.38982201,10
